A00;Χολέρα
A96.8;Άλλοι αιμορραγικοί πυρετοί από αρεναϊούς
A96.9;Αιμορραγικός πυρετός από αρεναϊούς, μη καθορισμένος
A98;Άλλοι ιογενείς αιμορραγικοί πυρετοί, που δεν ταξινομούνται αλλού
A98.0;Αιμορραγικός πυρετός της Κριμαίας-Κονγκό
A98.1;Αιμορραγικός πυρετός του Omsk
A98.2;Νόσος του δάσους Kyasanur [Kyasanur Forest]
A98.3;Νόσος από ιό Marburg
A98.4;Νόσος από ιό Ebola
A98.5;Αιμορραγικός πυρετός με νεφρικό σύνδρομο
A98.8;Άλλοι καθορισμένοι ιογενείς αιμορραγικοί πυρετοί
A99;Μη καθορισμένος ιογενής αιμορραγικός πυρετός
B00;Λοιμώξεις από ερπητοϊό [ιό του απλού έρπητα]
B00.0;Ερπητικό έκζεμα
B00.1;Φυσαλιδώδης δερματίτιδα από ερπητοϊό
B00.2;Ερπητική ουλοστοματίτιδα και φαρυγγοαμυγδαλίτιδα
B00.3+;Ερπητική μηνιγγίτιδα (G02.0* )
B00.4+;Ερπητική εγκεφαλίτιδα (G05.1* )
B00.5;Eρπητική οφθαλμοπάθεια
B00.7;Διάχυτη ερπητική νόσος
B00.8;Άλλες μορφές ερπητικής λοίμωξης
B00.9;Ερπητική λοίμωξη, μη καθορισμένη
B01;Ανεμευλογιά
B01.0+;Μηνιγγίτιδα της ανεμευλογιάς (G02.0* )
B01.1+;Εγκεφαλίτιδα της ανεμευλογιάς (G05.1* )
B01.2+;Πνευμονία της ανεμευλογιάς (J17.1* )
B01.8;Ανεμευλογιά με άλλες επιπλοκές
B01.9;Ανεμευλογιά χωρίς επιπλοκή
B02;Ζωστήρας [έρπητας ζωστήρας]
B02.0+;Εγκεφαλίτιδα του ζωστήρα (G05.1* )
B02.1+;Μηνιγγίτιδα του ζωστήρα (G02.0* )
B02.2+;Ζωστήρας με άλλη συμμετοχή από το νευρικό σύστημα
B02.3;Οφθαλμοπάθεια του ζωστήρα
B02.7;Διάχυτος ζωστήρας
B02.8;Ζωστήρας με άλλες επιπλοκές
B02.9;Ζωστήρας χωρίς επιπλοκή
B03;Ευλογιά
B04;Ευλογιά των πιθήκων
B05;Ιλαρά
B05.0+;Ιλαρά επιπλεγμένη με εγκεφαλίτιδα (G05.1* )
B05.1+;Ιλαρά επιπλεγμένη με μηνιγγίτιδα (G02.0* )
B05.2+;Ιλαρά επιπλεγμένη με πνευμονία (J17.1* )
B05.3+;Iλαρά επιπλεγμένη με μέση ωτίτιδα (H67.1* )
B05.4;Ιλαρά με εντερικές επιπλοκές
B05.8;Ιλαρά με άλλες επιπλοκές
B05.9;Ιλαρά χωρίς επιπλοκή
B06;Ερυθρά [Γερμανική Ιλαρά]
B06.0+;Ερυθρά με νευρολογικές επιπλοκές
B06.8;Ερυθρά με άλλες επιπλοκές
B06.9;Ερυθρά χωρίς επιπλοκή
B07;Ιογενείς ακροχορδόνες [μυρμηκίες]
B08;Άλλες ιογενείς λοιμώξεις χαρακτηριζόμενες από βλάβες του δέρματος και των βλεννογόνων, που δεν ταξινομούνται αλλού
B08.0;Άλλες λοιμώξεις που οφείλονται σε ιό orthopox
B08.1;Μολυσματική τέρμινθος
B08.2;Αιφνίδιο εξάνθημα [έκτη νόσος]
B08.3;Λοιμώδες ερύθημα [πέμπτη νόσος]
B08.4;Φυσαλλιδώδης στοματίτιδα με εξάνθημα από εντεροϊό  
B08.5;Φυσαλλιδώδης φαρυγγίτιδα από εντεροϊό 
B08.8;Άλλες καθορισμένες ιογενείς λοιμώξεις χαρακτηριζόμενες από βλάβες του δέρματος και των βλεννογόνων
B09;Μη καθορισμένες ιογενείς λοιμώξεις χαρακτηριζόμενες από βλάβες του δέρματος και των βλεννογόνων
B15;Οξεία ηπατίτιδα Α
B15.0;Ηπατίτιδα Α με ηπατικό κώμα
B15.9;Ηπατίτιδα Α χωρίς ηπατικό κώμα
B16;Οξεία ηπατίτιδα Β
B16.0;Οξεία ηπατίτιδα Β με παράγοντα δέλτα (συλλοίμωξη) με ηπατικό κώμα
B16.1;Οξεία ηπατίτιδα Β με παράγοντα δέλτα (συλλοίμωξη) χωρίς ηπατικό κώμα
B16.2;Οξεία ηπατίτιδα Β χωρίς  παράγοντα δέλτα με ηπατικό κώμα
B16.9;Οξεία ηπατίτιδα Β χωρίς  παράγοντα δέλτα χωρίς ηπατικό κώμα
B17;Άλλη οξεία ιογενής ηπατίτιδα
B17.0;Οξεία (υπερ)λοίμωξη με παράγοντα δέλτα του φορέα ηπατίτιδας Β
B17.1;Οξεία ηπατίτιδα C
B17.2;Οξεία ηπατίτιδα Ε
B17.8;Άλλη καθορισμένη οξεία ιογενής ηπατίτιδα
B18;Χρόνια ιογενής ηπατίτιδα
B18.0;Χρόνια ιογενής ηπατίτιδα Β με παράγοντα δέλτα
B18.1;Χρόνια ιογενής ηπατίτιδα Β χωρίς παράγοντα δέλτα
B18.2;Χρόνια ιογενής ηπατίτιδα C
B18.8;Άλλη χρόνια ιογενής ηπατίτιδα
B18.9;Χρόνια ιογενής ηπατίτιδα, μη καθορισμένη
B19;Μη καθορισμένη ιογενής ηπατίτιδα
B19.0;Μη καθορισμένη ιογενής ηπατίτιδα με ηπατικό κώμα
B19.9;Μη καθορισμένη ιογενής ηπατίτιδα χωρίς ηπατικό κώμα
B20;Νόσος από τον ιό της ανοσολογικής ανεπάρκειας του ανθρώπου [HIV] που καταλήγει σε λοιμώδη και παρασιτικά νοσήματα
B20.0;Νόσος HIV που καταλήγει σε μυκοβακτηριδιακή λοίμωξη
B20.1;Νόσος HIV που καταλήγει σε άλλες βακτηριακές λοιμώξεις
B20.2;Νόσος HIV που καταλήγει σε νόσο από κυτταρομεγαλοϊό
B20.3;Νόσος HIV που καταλήγει σε άλλες ιογενείς λοιμώξεις
B20.4;Νόσος HIV που καταλήγει σε καντιντίαση
B20.5;Νόσος HIV που καταλήγει σε άλλες μυκητιάσεις
B20.6;Νόσος HIV που καταλήγει σε πνευμονία από Pneumocystis jirovecii
B20.7;Νόσος HIV που καταλήγει σε πολλαπλές λοιμώξεις
B20.8;Νόσος HIV που καταλήγει σε άλλα λοιμώδη και παρασιτικά νοσήματα
B20.9;Νόσος HIV που καταλήγει σε μη καθορισμένο λοιμώδες ή παρασιτικό νόσημα
B21;Νόσος από τον ιό της ανοσολογικής ανεπάρκειας του ανθρώπου [HIV] που καταλήγει σε κακοήθη νεοπλάσματα
B21.0;Νόσος HIV που καταλήγει σε σάρκωμα Kaposi
B21.1;Νόσος HIV που καταλήγει σε λέμφωμα Burkitt
B21.2;Νόσος HIV που καταλήγει σε άλλους τύπους μη-Hodgkin λεμφώματος
B21.3;Νόσος HIV που καταλήγει σε άλλα κακοήθη νεοπλάσματα του λεμφικού, αιμοποιητικού και  συσχετιζόμενων ιστών
B21.7;Νόσος HIV που καταλήγει σε πολλαπλά κακοήθη νεοπλάσματα
B21.8;Νόσος HIV που καταλήγει σε άλλα κακοήθη νεοπλάσματα
B21.9;Νόσος HIV που καταλήγει σε μη καθορισμένα κακοήθη νεοπλάσματα
B22;Νόσος από τον ιό της ανοσολογικής ανεπάρκειας του ανθρώπου [HIV] που καταλήγει σε άλλα καθορισμένα νοσήματα
B22.0;Νόσος HIV που καταλήγει σε εγκεφαλοπάθεια
B22.1;Νόσος HIV που καταλήγει σε λεμφοειδή διάμεση πνευμονίτιδα
B22.2;Νόσος HIV που καταλήγει σε σύνδρομο απίσχνασης
B22.7;Νόσος HIV που καταλήγει σε πολλαπλά νοσήματα που ταξινομούνται αλλού
B23;Νόσος από τον ιό της ανοσολογικής ανεπάρκειας του ανθρώπου [HIV] που καταλήγει σε άλλες καταστάσεις
B23.0;Οξύ σύνδρομο της HIV λοίμωξης 
B23.1;Νόσος HIV που καταλήγει σε (εμμένουσα) γενικευμένη λεμφαδενοπάθεια
B23.2;Νόσος HIV που καταλήγει σε αιματολογικές και ανοσολογικές ανωμαλίες, που δεν ταξινομούνται αλλού
B23.8;Νόσος HIV που καταλήγει σε άλλες καθορισμένες καταστάσεις
B24;Μη καθορισμένη νόσος από τον ιό της ανοσολογικής ανεπάρκειας του ανθρώπου [HIV] 
B25;Νόσος από κυτταρομεγαλοϊό
B25.0+;Πνευμονίτιδα από κυτταρομεγαλοϊό  (J17.1* )
B25.1+;Ηπατίτιδα από κυτταρομεγαλοϊό (K77.0* )
B25.2+;Παγκρεατίτιδα από κυτταρομεγαλοϊό (K87.1* )
B25.8;Άλλα νοσήματα από κυτταρομεγαλοϊό
B25.9;Νόσος από κυτταρομεγαλοϊό, μη καθορισμένο
B26;Παρωτίτιδα
B26.0+;Παρωτιτιδική ορχίτιδα (N51.1* )
B26.1+;Παρωτιτιδική μηνιγγίτιδα (G02.0* )
B26.2+;Παρωτιτιδική εκεφαλίτιδα (G05.1* )
B26.3+;Παρωτιτιδική παγκρεατίτιδα (K87.1* )
B26.8;Παρωτίτιδα με άλλες επιπλοκές
B26.9;Παρωτίτιδα χωρίς επιπλοκές
B27;Λοιμώδης μονοπυρήνωση 
B27.0;Γραμμαερπητική μονοπυρήνωση 
B27.1;Μονοπυρήνωση που οφείλεται στον κυτταρομεγαλοϊό
B27.8;Άλλη λοιμώδης μονοπυρήνωση
B27.9;Λοιμώδης μονοπυρήνωση, μη καθορισμένη
B30;Ιογενής επιπεφυκίτιδα
B30.0+;Κερατοεπιπεφυκίτιδα που οφείλεται σε αδενοϊό (H19.2* )
B30.1+;Επιπεφυκίτιδα που οφείλεται σε αδενοϊό (H13.1* )
B30.2;Ιογενής φαρυγγοεπιπεφυκίτιδα
B30.3+;Οξεία επιδημική αιμορραγική επιπεφυκίτιδα (από εντεροϊό) (H13.1* )
B30.8+;Άλλες ιογενείς επιπεφυκίτιδες (H13.1*)
B30.9;Ιογενής επιπεφυκίτιδα, μη καθορισμένη
B33;Άλλα ιογενή νοσήματα, που δεν ταξινομούνται αλλού 
B33.0;Επιδημική μυαλγία
B33.1;Νόσος του ποταμού Ross [Ross River]
B33.2;Ιογενής καρδίτιδα
B33.3;Λοιμώξεις από ρετροϊούς, που δεν ταξινομούνται αλλού
B33.4+;(Καρδιο-)πνευμονικό σύνδρομο από ιό hantaan [HPS] [HCPS] (J17.1* )
B33.8;Άλλα καθορισμένα ιογενή νοσήματα
B34;Ιογενείς λοιμώξεις μη καθορισμένης εντόπισης
